DJI
11357.51
10997.93
11122.65
11253.26
11522.56
11572.20
11511.08
11551.10
11582.43
11722.98
11560.72
11489.36
11351.30
11251.71
11008.17
11029.89
11032.99
11028.02
10738.87
10940.53
11041.05
11003.20
11013.44
10963.80
10905.79
10957.60
10699.16
10643.63
10425.21
10519.84
10718.09
10561.41
10514.57
10219.52
10304.84
10225.73
10092.63
9862.12
10038.65
10128.31
10137.93
10164.92
10367.20
10170.50
9796.03
9856.53
10010.73
9928.82
9947.13
9811.24
10131.41
10630.60
10595.23
10680.24
10907.34
10866.70
11119.86
11112.72
11025.85
10936.11
11018.72
10980.25
10921.92
11221.93
11164.84
11033.92
11114.27
11111.48
11186.56
11287.08
11125.13
10923.55
10305.77
10582.51
10767.42
10674.96
10844.05
10906.10
11124.82
10945.50
10888.10
10733.91
10811.78
10731.12
10480.13
10412.49
10577.86
10603.63
10536.75
10367.78
10545.97
10609.37
10807.78
10934.57
10769.74
10777.28
10626.85
10542.55
10422.27
10535.35
10323.92
10299.24
10527.13
10522.33
10652.20
10794.76
10815.30
10735.57
10812.86
10668.72
10614.06
10564.21
10621.84
10687.95
10714.82
10449.30
10557.84
10435.16
10497.74
10376.12
10404.75
10542.99
10504.46
10527.79
10398.04
10447.89
10560.67
10483.60
10481.47
10635.98
10646.58
10727.19
10783.41
10788.71
10812.75
10804.27
10739.92
10696.08
10843.87
10733.56
10685.12
10699.97
10516.48
10586.13
10511.17
10521.98
10606.95
10687.53
10706.58
10767.75
10867.01
10976.89
10905.83
10908.76
11027.80
11176.14
11067.00
11008.39
11055.64
11046.48
11079.81
11139.15
11144.65
11182.74
11192.63
11252.84
11215.10
11103.01
11215.10
11238.78
11260.61
11310.64
11259.87
11220.65
11195.49
11233.23
11182.18
11087.47
10927.00
10808.52
10789.29
10687.92
10765.52
10847.37
10808.15
10631.32
10628.36
10824.06
10650.92
10700.13
10719.74
10784.48
10724.92
10596.54
10568.43
10524.40
10413.79
10034.58
10192.18
10238.80
10089.71
9975.02
10142.98
10226.59
10271.72
10393.07
10326.48
10380.12
10590.62
10835.77
10971.14
10899.47
10880.51
10817.95
10977.21
10952.18
10907.06
10834.25
10602.95
10517.25
10681.06
10707.60
10656.03
